#Borrower_ID,Project_ID,Project_Check_Digit,State_County_FIPS_Code,Project_Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Household_Count,Over_30_Percent_Income_Count,No_Income_Tenants_Count,Head_of_Household_Female_Count,Elderly_Count,Disabled_COunt,Handicapped_COunt,Ethnicity_Hispanic_Count,Designated_Minors_Count,Race_Code_A_Count,Race_Code_B_Count,Race_Code_I_Count,Race_Code_M_Count,Race_Code_P_Count,Race_Code_W_Count,Race_Code_X_Count,Subsidy_0_Count,Subsidy_1_Count,Subsidy_2_Count,Subsidy_4_Count,Subsidy_5_Count,Subsidy_6_Count,Subsidy_7_Count,Subsidy_8_Count,Annual_Income_Average,Other_Income_Average,Public_Assistant_Income_Average,Social_Security_Income_Average
"485335461","02","2","18019","MAPLE LEAF APTS.","228 MAPLE DRIVE"," "," ","CHARLESTOWN","IN","47111",40,0,0,16,4,6,0,0,18,0,1,0,0,0,40,0,0,0,40,0,0,0,0,0,11599.95,1434.77,0.00,5964.14
"256730658","02","2","18019","WINDSOR APARTMENTS","328 MAPLE DRIVE"," "," ","CHARLESTOWN","IN","47111",55,0,0,25,6,16,0,3,18,0,0,2,0,1,52,0,0,0,0,0,0,55,0,0,14313.40,848.67,0.00,7077.13
"299320453","01","2","18019","RIDGEVIEW LIMITED","1418 MT. ZION RD."," "," ","HENRYVILLE","IN","47126",13,0,0,8,4,5,0,0,0,0,0,0,0,0,14,0,1,11,0,0,0,1,0,0,15239.73,0.00,0.00,11785.09
"074538105","01","9","18029","RIDGE PARK APT","1175 FOREST DRIVE"," "," ","GREENDALE","IN","47025",60,3,0,24,7,8,0,0,18,0,0,0,0,0,60,0,23,36,0,0,0,1,0,0,18397.62,265.68,0.00,5344.00
"057764175","01","0","18029","KNOLL PARK APT.","2512 KNOLL CT."," "," ","LAWRENCEBURG","IN","47025",35,0,0,13,1,8,0,0,8,1,2,0,0,0,33,0,23,12,0,0,0,0,0,0,23264.43,798.48,0.00,4897.48
"495021454","01","4","18029","RIVER PARK APTS.","439 PARK AVE."," "," ","AURORA","IN","47001",20,0,0,15,17,4,0,0,0,0,0,0,0,0,21,0,9,9,0,0,0,2,0,0,15790.05,0.00,0.00,14195.11
"088359548","01","3","18029","VILLAGE APARTMENTS OF LAWRENCEBURG"," ","60 DOUGHTY ROAD",,"LAWRENCEBURG","IN","47025",43,3,0,20,25,25,0,1,1,2,2,0,0,0,42,0,11,30,0,0,0,2,0,0,13845.00,348.72,42.77,12941.28
"008934827","01","2","18077","RAINBOW END APARTMENTS II","500 RAINBOW LANE"," "," ","HANOVER","IN","47243",29,2,0,12,8,6,0,0,4,0,1,1,0,0,30,0,17,12,0,0,0,0,0,0,19915.27,0.00,0.00,12067.73
"008934827","02","2","18077","RAINBOW END APARTMENTS I","500 RAINBOW LANE"," "," ","HANOVER","IN","47243",38,1,0,13,6,12,0,0,9,0,10,0,0,0,32,0,7,22,0,0,0,9,0,0,13955.17,258.50,0.00,7737.75
"760181972","01","3","18077","CLIFTON HEIGHTS APARTMENTS","401 VIRGINIA AVE"," "," ","MADISON","IN","47250",58,6,0,29,17,17,0,2,10,0,1,0,0,0,58,0,14,32,0,0,0,12,0,0,14421.76,529.27,0.00,10096.76
"355516306","01","6","18079","LINCOLN PLACE APTS"," ","950 VETERANS DRIVE",,"NORTH VERNON","IN","47265",36,0,0,19,12,25,0,0,0,0,1,0,0,0,35,0,0,31,0,0,0,5,0,0,11388.09,0.00,0.00,10983.91
"135771291","01","9","18079","NORTH VERNON SENIOR HOUSING","45 HENRY STREET",,,"NORTH VERNON","IN","47265",72,0,0,55,65,6,2,0,0,0,0,0,0,0,73,0,47,25,0,0,0,0,0,0,17563.72,0.00,0.00,16721.37
"028724846","01","6","18079","VALLEY COURT"," ","500 HAYDEN PIKE",,"NORTH VERNON","IN","47265",51,0,0,24,7,4,3,6,18,0,2,0,0,0,50,0,4,45,0,0,0,2,0,0,13407.07,428.89,0.00,6768.30
"454837515","01","0","18079","VILLAGE APARTMENTS OF NO VERNON","500 HAYDEN PIKE",,,"NORTH VERNON","IN","47265",38,1,1,17,6,7,0,0,13,0,0,0,0,0,39,0,8,27,0,0,0,3,0,0,12603.27,1148.77,0.00,6806.36
